,Emotion,Phase,sentiment
0,joy,"On days when I feel close to my partner and other friends.   
When I feel at peace with myself and also experience a close  
contact with people whom I regard greatly.",0.3375
1,fear,"Every time I imagine that someone I love or I could contact a  
serious illness, even death.",0.08333333333333334
2,anger,"When I had been obviously unjustly treated and had no possibility  
of elucidating this.",0.0
3,sadness,"When I think about the short time that we live and relate it to  
the periods of my life when I think that I did not use this  
short time.",0.04545454545454545
4,disgust,"At a gathering I found myself involuntarily sitting next to two  
people who expressed opinions that I considered very low and  
discriminating.",0.0
5,shame,"When I realized that I was directing the feelings of discontent  
with myself at my partner and this way was trying to put the blame  
on him instead of sorting out my own feeliings.",0.6
6,guilt,"I feel guilty when when I realize that I consider material things  
more important than caring for my relatives.  I feel very  
self-centered.",0.15000000000000002
7,joy,"After my girlfriend had taken her exam we went to her parent's  
place.",0.0
8,fear,"When, for the first time I realized the meaning of death.",0.25
9,anger,"When a car is overtaking another and I am forced to drive off the  
road.",-0.30000000000000004
10,sadness,"When I recently thought about the hard work it takes to study, and   
how one wants to try something else.  When I read a theoretical  
book in English that I did not understand.",-0.018333333333333333
11,disgust,When I found a bristle in the liver paste tube.,0.0
12,shame,"When I was tired and unmotivated, I shouted at my girlfriend and  
and brought up negative sides of her character which are actually  
not so important.",-0.3
13,guilt,"When I think that I do not study enough.  After the weekend I  
think that I should have been able to have accomplished  
something during that time.",0.2333333333333333
14,joy,When I pass an examination which I did not think I did well.,0.0
15,fear,"When one has arranged to meet someone and that person arrives  
late, in the meantime one starts thinking about all that could  
have gone wrong e.g a traffic accident.",-0.4
16,anger,When one is unjustly accused of something one has not done.,0.0
17,sadness,When one's studies seem hopelessly difficult and uninteresting.  ,-0.5
18,disgust,"When one finds out that someone you know is not at all like one  
had thought, for instance friends who steal and things like that,  
quite unwarranted.",0.0
19,shame,"When one has been unjust, stupid towards someone else. ",-0.7999999999999999
20,guilt,When one has neglected or been unjust to a good friend.,0.7
21,joy,Passing an exam I did not expect to pass.,0.0
22,fear,"When I climbed up a tree to pick apples.  The angle of the ladder  
I was on did not enable me to get high enough.  This implied  
that the ladder was not very stable.",0.02
23,guilt,When excuses are necessary and I get out of doing it myself.,0.0
24,joy,When I had my children.,0.0
25,fear,"When my 2 year old son climbed up and sat on the 7th floor  
balcony with his legs hanging out.  He was holding on tightly to  
the upper railing of the balcony but he could have easily lost  
his balance when he sat down.",0.03984126984126984
26,anger,When my partner was attacked and lost three teeth.,0.0
27,sadness,"When I see children on T.V from areas devastated by drought and  
war.",0.0
28,disgust,When I nearly walked on a blindworm and then saw it crawl away.,0.1
29,shame,"When I saw my 18 year old son grab an oxygen mask as he had  
breathing difficulties.  I had a bad conscience because I had not  
stopped smoking.  Medication for the dilation of his breathing  
tubes also caused a sense of guilt in me.",-0.29999999999999993
30,guilt,"I experience a sense of guilt as my middle son cannot express  
himself like other children, neither verbally nor in writing.",-0.0625
31,joy,When my child was born.,0.0
32,fear,"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.
 The branch went through the ice and I fell in, the water closed  
in over my head.",-0.016666666666666666
33,anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  ",0.0
34,sadness,Failing an examination.,0.0
35,disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that  
turned into sadness-unpleasantness.",-0.1
36,shame,"When, as an adult I have been caught lying or behaving badly.",-0.29999999999999993
37,guilt,"When I am in an environment or with a person much worse off than  
me, I realize how privileged I am.",-0.4
38,joy,When I saw a person I had not seen for a long time.,-0.05
39,fear,"When, as a child, I was nearly knocked down by a car.",-0.02777777777777779
40,anger,"When I heard on the radio that the football match in Belgium had  
ended in a catastrophe, and several people had died.  I could not  
 understand how normal people could behave in such a way.",0.049999999999999996
41,sadness,"When I feel lonely, perhaps because I have to study a lot and I  
am shut up in my appartment.  Nothing happens in particular  
because there is no time for anything else.",0.03333333333333334
42,disgust,"When one learns through the mass media all the wars and killing  
going on in the world.",0.0
43,shame,"I lied, to be precise I cancelled a meeting with a good friend.",0.55
44,guilt,When one lets friends down,-0.15555555555555559
45,joy,When I was accepted for a course on finance and accounting.,0.0
46,fear,"A bus drove over my right leg.  The event itself was not very  
frightening but when I had to wait in the emergency ward for  
three hours and then my leg began to swell, I was frightened.",0.239010989010989
47,anger,"At my Summer job, nobody looked after me in particular and I had  
to learn all on my own.",0.3833333333333333
48,sadness,When I was not accepted as a student in finance and accounting.,0.0
49,disgust,"When I had just moved into my new appartment I found a ventilator  
in the kitchen.  I was going to clean it when I found that the  
drum was full of mud and slime.  I felt disgusted.",-0.03674242424242424
50,shame,"My elder brother and I have not always had a good relationship  
and I feel ashamed of myself as I do not call him to talk to him  
nowadays.",0.7
51,guilt,"At my Summer job a new caretaker had been employed who was my age  
 but I preferred going out for lunch with the accounts personnel  
rather than with him.",0.13636363636363635
52,joy,Passed an exam by 2 points.,0.0
53,fear,"In a cottage in a large forest, I was alone for a while in the  dark.",0.03214285714285714
54,sadness,Railway station good-bye.,0.0
55,disgust,"I saw a cripple in rags with small children in Italy.  He was  
probably an imposter.",-0.25
56,shame,"I told a friend that I was going to a party and he would not  
enjoy himself if he came along.  He understood  that he would not  
have fitted in and there was something in that.",-0.2
57,guilt,"I was the reason behind the break-up of my friend's relationship  
with his girlfriend.  She finished with him.",-0.4
58,joy,I passed an exam that I was absolutely certain that I had failed.,-0.14285714285714285
59,fear,"On the way back from Denmark with a friend on a small yatch,  
there was a storm and my friend was blown overboard;  I was very  
scared till I managed to get him back onboard.",-0.06
60,anger,I locked myself out.,0.0
61,sadness,I missed the last tram home and had to walk in the pouring rain.,0.0
62,disgust,I found some worms in the food and I had obviously eaten some.,0.0
63,shame,"My friend was so intoxicated that the police came and took him  
away, and they later contacted his parents.",0.0
64,guilt,I hapened to overhear something which I was not meant to hear.,0.0
65,joy,When I won a trip to Greece in a competition.,0.0
66,fear,"When I am out in the dark and a suspicious looking character  
comes towards me.",-0.15
67,anger,"At work, when an elderly man complained unjustifiably about me and  
distrusted me.",-0.3
68,sadness,When I had not understood anything after a lecture.,0.0
69,disgust,When an alcoholic stood dribbling over a food counter.,-0.25
70,shame,"When my friend and I were discussing the good looks of a guy we  
realized that he had been listening.",0.7
71,guilt,"When I complained about a colleague to the manager and he told  
her that someone had complained; this colleague came to me  
believing that I liked her.",0.0
72,joy,"At a friend's birthday party with some of my closest friends.  It  
was all very pleasant and one could say that I was happy to have  
such good friends.",0.6133333333333333
73,fear,"On the way home one Friday night in the heavy rain the car  
acquaplanned.  I lost contact with the road surface for a few  
seconds.",-0.2
74,anger,Mad at my dad.,-0.625
75,sadness,A case of unrequited love.,0.5
76,disgust,A bad smelling cucumber.,-0.6999999999999998
77,shame,Nearly caught masturbating.,0.1
78,guilt,I do not help out enough at home.,0.0
79,joy,I felt very happy when I won the football pools.,1.0
80,fear,"When I flew from Athens to Copenhagen after a holiday.  The plane  
was caught in a storm and it began to shake and I thouhght that  
we were going to crash.",0.0
81,anger,When someone stole my bike.,0.0
82,sadness,"When I saw the list of books to read for an acccouting course, I  
thought "" Oh God how will I ever manaage it!""",0.0
83,disgust,"It was when I read a newspaper article on the future and they  
foresaw that we would be eating frog-burgers by the year 2000.   
An illustration showed a frog between two pieces of bread.",0.0
84,shame,"When I dropped a bottle in the state liquor store and everyboby  
started laughing.",0.0
85,guilt,"When I was young - 14, I pinched from a store and was caught.   
The store then contacted my parents.",0.1
86,joy,"When the whole family gets together for a one week holiday.   
Everybody feels free and the trip is well planned.  It works out  
well and we enjoy ourselves.",0.3333333333333333
87,fear,"When I could not find my 2 year old daughter.  I ran and looked  
for her everywhere and could not find her.  (I finally found her,  
she had gone to bed to sleep)",0.05
88,anger,When friends try to put me down or hurt me.  ,-0.15555555555555559
89,sadness,Marriage crises.  Boredom.,0.0
90,disgust,When someone makes advances that one does not want.,0.0
91,shame,The discovery that one has only thought of oneself.,0.0
92,guilt,When I spanked a child in anger and later regretted it terribly.,-0.5666666666666667
93,joy,When I passed the first examination that I had to repeat.,0.25
94,fear,"When I drove to Stockholm for the first time and drove off the  
Stora Hissingen road at the wrong exit.",-0.125
95,anger,When my boyfriend went away for a month long holiday without me.,-0.05
96,sadness,"Last year when I worked during the Summer holidays and studied  
at the same time for an examination I had to repeat; my boyfriend  
went to Greece for a holiday for a month.",0.0
97,disgust,When a dog is left whining outside a shop.,0.0
98,shame,"When I promised to help a friend over a weekend and did not keep  
the promise.",0.0
99,guilt,When I realized that I had three more examinations to take.,0.5
100,joy,"The day I was told that I had been accepted as a student of  
economics.",0.0
101,fear,"While taking a short cut through the Vasa park, I was surrounded  
by three people who tried to steal my money.  I was scared and  
was saved only by the appearance of other people.",-0.041666666666666664
102,anger,"At a restaurant I observed how the gypsies tried to get money by  
cheating the foreigners i.e non Swedish speaking.  My anger had  
nothing to do with hatred against foreigners, but it was an  
expression of the anger I feel when I see people being used .",-0.7
103,sadness,"At the begining of a new course one is afraid of encountering  
problems one can not manage.  Thoughts revolve around failing  
the subject and the consequences it would have for the future.",-0.15757575757575756
104,disgust,"While walking in town I noticed how the police harrassed a man  
who was under the influence of alcohol.  They terrified him with  
the thought of arrest by driving close behind him on a pedestrian  
street.  My disgust was directed at the gestures and the facial  
expressions of the policemen; they seemed to be enjoying  
themselves.",0.012499999999999997
105,shame,"When my boyfriend revealed that he knew that I had discovered  
things of an important nature about him, I felt ashamed as I had  
not mentioned it earlier.",0.2
106,guilt,"When I am dishonest to a friend to whom I am very close.  I  
feel guilty because I know that he gives a different version of  
the truth and I have not corrected these mistakes, and he is  
aware that I know that they are wrong.",-0.14166666666666666
107,joy,"When I found out that I had passed the last two exams by a  
margin of three marks.",0.0
108,fear,When my father was ill and was waiting for the results of his tests.,-0.5
109,anger,"When I got caught in the pouring rain last Thursday and did not  
have a raincoat on me.",0.0
110,sadness,When I failed an exam.,-0.5
111,shame,"When I had not prepared my contribution to the group as  
thoroughly as the other members, with the result that the  
overall result was poor.",-0.17500000000000002
